Mês/Ano,Sexo,Faixa etária,Cor/raça,Escolaridade,Ocupação,Renda familiar (SM),Bairro,Zona,Saúde,Segurança Pública,Conservação Urbana e Patrimonial,Educação,Preservação ambiental,Assistência Social,Transportes,Saneamento básico,Fator de maior preocupação
10/2024,Feminino,50-59,Parda,Superior incompleto,Desempregado,Até 1 SM,Higienópolis,Zona Norte,Regular,Péssimo,Regular,Bom,Bom,Ruim,Regular,Ruim,educação
10/2024,Feminino,50-59,Parda,Médio incompleto,Desempregado,2–3 SM,Jardim Guanabara,Zona Norte,Ótimo,Regular,Péssimo,Regular,Regular,Bom,Regular,Bom,corrupção
10/2024,Feminino,16-24,Branca,Pós-graduação,Estudante,1–2 SM,Jardim Sulacap,Zona Oeste,Regular,Ruim,Bom,Regular,Ruim,Ruim,Ruim,Ruim,saúde
10/2024,Masculino,16-24,Preta,Médio incompleto,Empregado c/ carteira,1–2 SM,Pavuna,Zona Norte,Péssimo,Ruim,Ruim,Regular,Bom,Regular,Ruim,Ruim,desemprego
10/2024,Feminino,50-59,Branca,Sem instrução,Empresário,2–3 SM,Leme,Zona Sul,Regular,Bom,Ótimo,Bom,Péssimo,Bom,Ruim,Bom,crime e violência
10/2024,Feminino,50-59,Parda,Superior completo,Empregado c/ carteira,3–5 SM,Anil,Zona Oeste,Bom,Bom,Bom,Ruim,Regular,Bom,Péssimo,Bom,crime e violência
10/2024,Feminino,16-24,Branca,Médio completo,Desempregado,5–10 SM,Oswaldo Cruz,Zona Norte,Ruim,Ruim,Bom,Ruim,Ruim,Bom,Regular,Ruim,saúde
10/2024,Feminino,60+,Parda,Médio completo,Desempregado,1–2 SM,São Conrado,Zona Sul,Ótimo,Regular,Ótimo,Regular,Regular,Regular,Péssimo,Regular,questões climáticas
10/2024,Feminino,30-39,Branca,Médio completo,Autônomo,5–10 SM,Cidade De Deus,Zona Oeste,Ruim,Regular,Ruim,Bom,Regular,Regular,Bom,Bom,crime e violência
10/2024,Feminino,60+,Parda,Médio completo,Empregado c/ carteira,1–2 SM,Caju,Centro,Ruim,Bom,Péssimo,Regular,Regular,Regular,Regular,Bom,saúde
10/2024,Feminino,30-39,Branca,Médio completo,Estudante,Até 1 SM,Engenho De Dentro,Zona Norte,Regular,Bom,Regular,Péssimo,Péssimo,Ruim,Péssimo,Bom,crime e violência
10/2024,Masculino,40-49,Branca,Superior incompleto,Empregado c/ carteira,Até 1 SM,Colégio,Zona Norte,Bom,Ótimo,Bom,Regular,Bom,Ruim,Bom,Bom,crime e violência
10/2024,Feminino,16-24,Amarela,Superior incompleto,Desempregado,5–10 SM,Jacarepaguá,Zona Oeste,Ruim,Ruim,Regular,Regular,Ruim,Regular,Péssimo,Regular,pobreza e desigualdade
10/2024,Feminino,25-29,Parda,Superior completo,Estudante,5–10 SM,Barra Da Tijuca,Zona Oeste,Bom,Ruim,Regular,Bom,Bom,Ruim,Regular,Regular,crime e violência
10/2024,Masculino,50-59,Branca,Fundamental completo,Autônomo,Até 1 SM,Engenheiro Leal,Zona Norte,Regular,Regular,Ruim,Regular,Péssimo,Bom,Regular,Ruim,crime e violência
10/2024,Feminino,30-39,Branca,Pós-graduação,Empregado c/ carteira,2–3 SM,Maré,Zona Norte,Ótimo,Ótimo,Bom,Ruim,Regular,Ruim,Ruim,Regular,educação
10/2024,Feminino,30-39,Parda,Fundamental incompleto,Aposentado,1–2 SM,Todos Os Santos,Zona Norte,Regular,Regular,Bom,Regular,Regular,Regular,Ruim,Bom,desemprego
10/2024,Feminino,50-59,Branca,Superior completo,Empregado c/ carteira,1–2 SM,Barra De Guaratiba,Zona Oeste,Péssimo,Bom,Bom,Ruim,Regular,Ruim,Regular,Ruim,pobreza e desigualdade
10/2024,Masculino,40-49,Branca,Médio completo,Servidor público,1–2 SM,Laranjeiras,Zona Sul,Regular,Regular,Regular,Péssimo,Ruim,Regular,Bom,Ótimo,crime e violência
10/2024,Masculino,40-49,Parda,Médio completo,Aposentado,5–10 SM,Cacuia,Zona Norte,Regular,Bom,Regular,Bom,Bom,Péssimo,Regular,Bom,educação
10/2024,Feminino,16-24,Branca,Fundamental completo,Autônomo,3–5 SM,Lagoa,Zona Sul,Ruim,Ruim,Regular,Regular,Regular,Regular,Bom,Bom,crime e violência
10/2024,Feminino,16-24,Branca,Médio incompleto,Estudante,5–10 SM,Vargem Grande,Zona Oeste,Ruim,Bom,Ótimo,Ruim,Regular,Ruim,Regular,Ruim,rede de transportes
10/2024,Feminino,50-59,Parda,Médio completo,Servidor público,Até 1 SM,Botafogo,Zona Sul,Bom,Regular,Ruim,Bom,Ruim,Bom,Péssimo,Regular,pobreza e desigualdade
10/2024,Feminino,50-59,Branca,Superior incompleto,Autônomo,5–10 SM,Senador Camará,Zona Oeste,Bom,Regular,Ótimo,Bom,Ruim,Regular,Regular,Regular,crime e violência
10/2024,Feminino,50-59,Branca,Pós-graduação,Empregado c/ carteira,Até 1 SM,Catete,Zona Sul,Regular,Bom,Bom,Ruim,Péssimo,Regular,Ruim,Bom,crime e violência
10/2024,Masculino,30-39,Branca,Fundamental incompleto,Empregado c/ carteira,3–5 SM,Vila Militar,Zona Oeste,Ruim,Bom,Regular,Regular,Ruim,Regular,Ruim,Bom,crime e violência
10/2024,Feminino,25-29,Parda,Médio completo,Desempregado,3–5 SM,Manguinhos,Zona Norte,Bom,Ótimo,Regular,Regular,Regular,Bom,Regular,Péssimo,saúde
10/2024,Feminino,16-24,Parda,Médio completo,Aposentado,2–3 SM,Lagoa,Zona Sul,Ruim,Ruim,Bom,Regular,Bom,Regular,Bom,Péssimo,educação
10/2024,Masculino,30-39,Parda,Superior incompleto,Empregado c/ carteira,Até 1 SM,Leblon,Zona Sul,Regular,Ruim,Ótimo,Ótimo,Ruim,Ruim,Bom,Regular,crime e violência
10/2024,Feminino,16-24,Branca,Fundamental incompleto,Empresário,1–2 SM,Jacarepaguá,Zona Oeste,Bom,Bom,Ruim,Regular,Bom,Péssimo,Bom,Ruim,desemprego
10/2024,Feminino,25-29,Parda,Superior completo,Estudante,2–3 SM,Sampaio,Zona Norte,Regular,Ótimo,Bom,Ótimo,Péssimo,Regular,Regular,Ótimo,corrupção
10/2024,Feminino,16-24,Branca,Médio incompleto,Autônomo,Mais de 10 SM,Realengo,Zona Oeste,Bom,Ruim,Bom,Regular,Péssimo,Regular,Ruim,Regular,crime e violência
10/2024,Masculino,40-49,Parda,Superior completo,Empregado c/ carteira,1–2 SM,Grumari,Zona Oeste,Bom,Ótimo,Ruim,Regular,Ótimo,Regular,Bom,Bom,crime e violência
10/2024,Masculino,50-59,Branca,Médio incompleto,Desempregado,2–3 SM,Flamengo,Zona Sul,Regular,Ruim,Ótimo,Péssimo,Regular,Regular,Ruim,Regular,desemprego
10/2024,Masculino,30-39,Indígena,Fundamental incompleto,Empregado c/ carteira,5–10 SM,Cascadura,Zona Norte,Péssimo,Ruim,Bom,Bom,Regular,Ruim,Regular,Ruim,crime e violência
10/2024,Feminino,30-39,Parda,Médio completo,Desempregado,3–5 SM,Deodoro,Zona Oeste,Regular,Ruim,Regular,Regular,Péssimo,Regular,Bom,Regular,desemprego
10/2024,Feminino,40-49,Parda,Superior incompleto,Empregado c/ carteira,2–3 SM,Magalhães Bastos,Zona Oeste,Bom,Bom,Regular,Regular,Ruim,Regular,Péssimo,Ruim,inflação
10/2024,Feminino,60+,Branca,Médio completo,Aposentado,1–2 SM,São Cristóvão,Centro,Ruim,Ruim,Péssimo,Regular,Regular,Regular,Bom,Ótimo,pobreza e desigualdade
10/2024,Masculino,16-24,Parda,Fundamental completo,Empregado c/ carteira,3–5 SM,Copacabana,Zona Sul,Regular,Ruim,Ruim,Ruim,Regular,Regular,Ruim,Ótimo,crime e violência
10/2024,Feminino,16-24,Branca,Médio completo,Desempregado,5–10 SM,Praça Seca,Zona Oeste,Bom,Regular,Ruim,Péssimo,Ruim,Ruim,Regular,Bom,inflação
10/2024,Feminino,25-29,Branca,Superior completo,Empregado c/ carteira,2–3 SM,Humaitá,Zona Sul,Ruim,Bom,Ruim,Regular,Bom,Regular,Regular,Regular,pobreza e desigualdade
10/2024,Feminino,16-24,Branca,Médio incompleto,Aposentado,1–2 SM,Tanque,Zona Oeste,Ótimo,Regular,Regular,Regular,Regular,Bom,Bom,Bom,pobreza e desigualdade
10/2024,Masculino,40-49,Branca,Fundamental completo,Empregado c/ carteira,2–3 SM,Leme,Zona Sul,Regular,Bom,Péssimo,Bom,Regular,Ótimo,Ótimo,Bom,saúde
10/2024,Masculino,16-24,Branca,Superior incompleto,Empregado c/ carteira,3–5 SM,Anil,Zona Oeste,Regular,Bom,Bom,Regular,Bom,Bom,Ruim,Bom,educação
10/2024,Masculino,50-59,Parda,Superior incompleto,Autônomo,3–5 SM,Ramos,Zona Norte,Bom,Bom,Regular,Ruim,Péssimo,Bom,Bom,Péssimo,rede de transportes
10/2024,Feminino,25-29,Branca,Superior incompleto,Empregado c/ carteira,Até 1 SM,Santo Cristo,Centro,Péssimo,Ruim,Bom,Péssimo,Péssimo,Péssimo,Péssimo,Ruim,saúde
10/2024,Masculino,60+,Parda,Fundamental incompleto,Empregado c/ carteira,Até 1 SM,Campo Grande,Zona Oeste,Regular,Ruim,Regular,Regular,Bom,Regular,Bom,Péssimo,pobreza e desigualdade
10/2024,Masculino,25-29,Parda,Fundamental incompleto,Estudante,3–5 SM,Coelho Neto,Zona Norte,Bom,Ruim,Regular,Regular,Regular,Péssimo,Regular,Ruim,corrupção
10/2024,Feminino,30-39,Parda,Médio completo,Empregado s/ carteira,2–3 SM,Leblon,Zona Sul,Regular,Bom,Ruim,Regular,Regular,Regular,Regular,Bom,rede de transportes
10/2024,Masculino,40-49,Parda,Médio completo,Desempregado,5–10 SM,Catete,Zona Sul,Bom,Regular,Regular,Ruim,Bom,Regular,Regular,Bom,questões climáticas
10/2024,Masculino,40-49,Parda,Fundamental incompleto,Empregado c/ carteira,5–10 SM,Gericinó,Zona Oeste,Ruim,Regular,Regular,Péssimo,Regular,Regular,Bom,Regular,pobreza e desigualdade
10/2024,Masculino,50-59,Branca,Médio completo,Estudante,3–5 SM,Del Castilho,Zona Norte,Bom,Ruim,Ruim,Regular,Regular,Regular,Bom,Bom,crime e violência
10/2024,Masculino,30-39,Parda,Sem instrução,Empregado c/ carteira,Mais de 10 SM,Campo Dos Afonsos,Zona Oeste,Regular,Regular,Ruim,Péssimo,Péssimo,Regular,Regular,Bom,pobreza e desigualdade
10/2024,Masculino,40-49,Parda,Pós-graduação,Servidor público,1–2 SM,Vidigal,Zona Sul,Ruim,Bom,Regular,Ruim,Regular,Regular,Regular,Ótimo,corrupção
10/2024,Feminino,16-24,Parda,Superior completo,Desempregado,1–2 SM,Sampaio,Zona Norte,Ótimo,Ruim,Ruim,Ruim,Regular,Bom,Bom,Regular,desemprego
10/2024,Feminino,16-24,Branca,Fundamental completo,Empregado c/ carteira,2–3 SM,Vila Valqueire,Zona Oeste,Ótimo,Bom,Bom,Bom,Regular,Regular,Regular,Ruim,inflação
10/2024,Feminino,40-49,Preta,Sem instrução,Servidor público,Até 1 SM,Quintino Bocaiúva,Zona Norte,Bom,Bom,Ruim,Regular,Regular,Bom,Regular,Regular,crime e violência
10/2024,Masculino,40-49,Branca,Médio completo,Empregado s/ carteira,1–2 SM,Todos Os Santos,Zona Norte,Bom,Bom,Péssimo,Regular,Regular,Ótimo,Bom,Regular,corrupção
10/2024,Feminino,16-24,Parda,Superior incompleto,Estudante,5–10 SM,Cidade De Deus,Zona Oeste,Bom,Regular,Péssimo,Regular,Regular,Regular,Bom,Péssimo,crime e violência
10/2024,Feminino,16-24,Parda,Médio completo,Empregado c/ carteira,2–3 SM,Honório Gurgel,Zona Norte,Ruim,Bom,Bom,Bom,Ótimo,Regular,Ruim,Péssimo,crime e violência
10/2024,Masculino,60+,Branca,Médio incompleto,Empregado c/ carteira,2–3 SM,Vila Valqueire,Zona Oeste,Regular,Regular,Regular,Ruim,Bom,Ruim,Bom,Bom,crime e violência
10/2024,Feminino,30-39,Branca,Médio incompleto,Autônomo,3–5 SM,Padre Miguel,Zona Oeste,Bom,Regular,Ruim,Bom,Regular,Regular,Regular,Ruim,crime e violência
10/2024,Masculino,60+,Parda,Superior incompleto,Empregado c/ carteira,1–2 SM,Jardim Sulacap,Zona Oeste,Bom,Bom,Bom,Bom,Bom,Regular,Péssimo,Bom,pobreza e desigualdade
10/2024,Feminino,16-24,Branca,Fundamental incompleto,Empregado s/ carteira,5–10 SM,Barra De Guaratiba,Zona Oeste,Ruim,Regular,Regular,Regular,Regular,Regular,Bom,Regular,crime e violência
10/2024,Masculino,40-49,Branca,Superior incompleto,Servidor público,1–2 SM,Curicica,Zona Oeste,Péssimo,Ruim,Péssimo,Ruim,Bom,Bom,Péssimo,Péssimo,corrupção
10/2024,Masculino,30-39,Branca,Médio completo,Servidor público,2–3 SM,Cosme Velho,Zona Sul,Regular,Regular,Bom,Ruim,Regular,Bom,Bom,Ótimo,pobreza e desigualdade
10/2024,Masculino,50-59,Branca,Médio completo,Empregado c/ carteira,Até 1 SM,Centro,Centro,Regular,Regular,Regular,Ruim,Bom,Ruim,Regular,Bom,pobreza e desigualdade
10/2024,Feminino,25-29,Parda,Superior incompleto,Empregado c/ carteira,Mais de 10 SM,Gericinó,Zona Oeste,Péssimo,Regular,Regular,Ruim,Regular,Regular,Ruim,Regular,crime e violência
10/2024,Masculino,30-39,Parda,Médio completo,Empregado c/ carteira,5–10 SM,Barra De Guaratiba,Zona Oeste,Ruim,Regular,Péssimo,Regular,Bom,Ruim,Ruim,Ruim,crime e violência
10/2024,Masculino,30-39,Branca,Fundamental incompleto,Empregado c/ carteira,3–5 SM,Sepetiba,Zona Oeste,Bom,Péssimo,Regular,Regular,Ruim,Bom,Regular,Regular,corrupção
10/2024,Feminino,30-39,Parda,Superior completo,Servidor público,2–3 SM,Cordovil,Zona Norte,Regular,Regular,Ruim,Regular,Ruim,Ruim,Bom,Ruim,crime e violência
10/2024,Feminino,30-39,Parda,Fundamental incompleto,Desempregado,Até 1 SM,Tijuca,Zona Norte,Ótimo,Ruim,Ruim,Regular,Ótimo,Ruim,Ruim,Ótimo,desemprego
10/2024,Feminino,30-39,Branca,Médio completo,Autônomo,2–3 SM,Zumbi,Zona Norte,Bom,Bom,Ruim,Regular,Ótimo,Bom,Ruim,Regular,corrupção
10/2024,Masculino,30-39,Branca,Fundamental incompleto,Estudante,Mais de 10 SM,Santa Teresa,Centro,Regular,Regular,Bom,Regular,Regular,Regular,Bom,Ruim,crime e violência
10/2024,Feminino,16-24,Branca,Médio incompleto,Empregado s/ carteira,3–5 SM,Engenho Novo,Zona Norte,Bom,Bom,Bom,Ruim,Regular,Regular,Péssimo,Bom,pobreza e desigualdade
10/2024,Feminino,60+,Preta,Médio completo,Servidor público,2–3 SM,Grumari,Zona Oeste,Péssimo,Regular,Ruim,Bom,Bom,Regular,Regular,Regular,crime e violência
10/2024,Masculino,30-39,Branca,Médio completo,Estudante,1–2 SM,Laranjeiras,Zona Sul,Regular,Ruim,Péssimo,Bom,Regular,Ótimo,Bom,Ruim,crime e violência
10/2024,Masculino,30-39,Branca,Médio completo,Aposentado,3–5 SM,Irajá,Zona Norte,Ruim,Bom,Ruim,Péssimo,Bom,Bom,Regular,Regular,crime e violência
10/2024,Feminino,16-24,Parda,Médio completo,Empregado c/ carteira,1–2 SM,Encantado,Zona Norte,Ruim,Bom,Regular,Regular,Péssimo,Ótimo,Péssimo,Regular,pobreza e desigualdade
10/2024,Masculino,25-29,Branca,Médio completo,Autônomo,1–2 SM,Pitangueiras,Zona Norte,Ótimo,Péssimo,Ruim,Regular,Regular,Ruim,Bom,Péssimo,inflação
10/2024,Feminino,60+,Branca,Médio completo,Autônomo,3–5 SM,Complexo Do Alemão,Zona Norte,Regular,Regular,Bom,Regular,Bom,Ruim,Regular,Ruim,desemprego
10/2024,Feminino,25-29,Indígena,Médio incompleto,Aposentado,Até 1 SM,Méier,Zona Norte,Regular,Ótimo,Bom,Ruim,Regular,Péssimo,Regular,Ruim,educação
10/2024,Feminino,25-29,Parda,Médio completo,Empregado c/ carteira,5–10 SM,Paquetá,Centro,Ruim,Regular,Péssimo,Ruim,Regular,Péssimo,Bom,Regular,educação
10/2024,Feminino,16-24,Branca,Fundamental incompleto,Desempregado,5–10 SM,Vila Militar,Zona Oeste,Regular,Ruim,Bom,Regular,Regular,Regular,Péssimo,Regular,crime e violência
10/2024,Feminino,25-29,Branca,Pós-graduação,Empregado c/ carteira,5–10 SM,Jardim Botânico,Zona Sul,Bom,Ruim,Bom,Regular,Ruim,Regular,Bom,Regular,pobreza e desigualdade
10/2024,Masculino,30-39,Branca,Superior incompleto,Aposentado,5–10 SM,Tijuca,Zona Norte,Regular,Regular,Regular,Ruim,Ruim,Regular,Regular,Regular,desemprego
10/2024,Masculino,50-59,Branca,Médio completo,Aposentado,1–2 SM,Vargem Grande,Zona Oeste,Ruim,Regular,Ruim,Regular,Bom,Péssimo,Ótimo,Ótimo,pobreza e desigualdade
10/2024,Masculino,16-24,Branca,Superior completo,Desempregado,1–2 SM,Leme,Zona Sul,Ótimo,Bom,Péssimo,Bom,Regular,Péssimo,Regular,Regular,saúde
10/2024,Feminino,16-24,Parda,Superior completo,Empregado c/ carteira,3–5 SM,Paquetá,Centro,Ruim,Bom,Bom,Regular,Regular,Péssimo,Bom,Ruim,questões climáticas
10/2024,Masculino,16-24,Parda,Fundamental incompleto,Estudante,3–5 SM,Engenheiro Leal,Zona Norte,Regular,Bom,Regular,Ruim,Regular,Regular,Regular,Péssimo,crime e violência
10/2024,Masculino,60+,Amarela,Sem instrução,Empresário,Até 1 SM,Magalhães Bastos,Zona Oeste,Ótimo,Péssimo,Regular,Ruim,Regular,Bom,Péssimo,Regular,pobreza e desigualdade
10/2024,Feminino,30-39,Branca,Fundamental completo,Empregado c/ carteira,2–3 SM,Urca,Zona Sul,Bom,Ótimo,Regular,Bom,Regular,Péssimo,Regular,Ruim,pobreza e desigualdade
10/2024,Feminino,16-24,Preta,Médio completo,Empregado s/ carteira,3–5 SM,Botafogo,Zona Sul,Regular,Bom,Péssimo,Regular,Regular,Bom,Péssimo,Regular,crime e violência
10/2024,Masculino,16-24,Branca,Fundamental incompleto,Empresário,3–5 SM,Irajá,Zona Norte,Ruim,Péssimo,Ruim,Regular,Ruim,Ruim,Regular,Bom,crime e violência
10/2024,Feminino,25-29,Preta,Sem instrução,Aposentado,Mais de 10 SM,Vila Militar,Zona Oeste,Regular,Péssimo,Bom,Regular,Regular,Péssimo,Regular,Bom,corrupção
10/2024,Masculino,16-24,Parda,Médio completo,Autônomo,3–5 SM,Alto Da Boa Vista,Zona Norte,Bom,Regular,Bom,Regular,Bom,Péssimo,Ótimo,Regular,rede de transportes
10/2024,Feminino,30-39,Branca,Superior completo,Aposentado,2–3 SM,Gericinó,Zona Oeste,Bom,Ruim,Ruim,Ótimo,Regular,Regular,Regular,Regular,corrupção
10/2024,Masculino,50-59,Preta,Superior completo,Empregado c/ carteira,2–3 SM,Freguesia (Jacarepaguá),Zona Oeste,Regular,Ótimo,Regular,Ruim,Bom,Ruim,Regular,Bom,pobreza e desigualdade
10/2024,Masculino,40-49,Branca,Médio completo,Empregado c/ carteira,1–2 SM,Pechincha,Zona Oeste,Regular,Péssimo,Bom,Bom,Regular,Ruim,Regular,Ruim,desemprego
10/2024,Feminino,30-39,Parda,Médio completo,Empregado c/ carteira,2–3 SM,Urca,Zona Sul,Regular,Regular,Ótimo,Bom,Regular,Regular,Regular,Bom,educação
10/2024,Masculino,60+,Parda,Médio completo,Autônomo,Até 1 SM,Praça Seca,Zona Oeste,Ótimo,Bom,Ruim,Regular,Péssimo,Regular,Bom,Bom,educação
10/2024,Feminino,60+,Parda,Médio completo,Empregado c/ carteira,Até 1 SM,Olaria,Zona Norte,Regular,Regular,Bom,Regular,Regular,Regular,Bom,Bom,pobreza e desigualdade
10/2024,Masculino,16-24,Parda,Médio incompleto,Empregado c/ carteira,2–3 SM,São Francisco Xavier,Zona Norte,Regular,Regular,Ruim,Ruim,Regular,Ruim,Regular,Regular,crime e violência
10/2024,Masculino,50-59,Indígena,Médio completo,Desempregado,2–3 SM,Humaitá,Zona Sul,Bom,Regular,Ótimo,Ruim,Bom,Regular,Regular,Ruim,questões climáticas
10/2024,Feminino,40-49,Parda,Superior completo,Autônomo,1–2 SM,Sampaio,Zona Norte,Regular,Ótimo,Bom,Ruim,Regular,Regular,Péssimo,Bom,crime e violência
10/2024,Masculino,40-49,Parda,Fundamental completo,Aposentado,5–10 SM,Freguesia (Jacarepaguá),Zona Oeste,Regular,Regular,Bom,Bom,Regular,Ruim,Ruim,Ruim,pobreza e desigualdade
10/2024,Masculino,25-29,Branca,Médio completo,Autônomo,Até 1 SM,Bento Ribeiro,Zona Norte,Ruim,Regular,Regular,Regular,Péssimo,Ruim,Ruim,Regular,saúde
10/2024,Feminino,50-59,Branca,Fundamental incompleto,Empregado c/ carteira,5–10 SM,Senador Vasconcelos,Zona Oeste,Ruim,Ruim,Ruim,Ruim,Regular,Ótimo,Bom,Péssimo,saúde
10/2024,Feminino,60+,Branca,Pós-graduação,Desempregado,2–3 SM,Vidigal,Zona Sul,Regular,Regular,Regular,Ruim,Ruim,Ruim,Regular,Bom,questões climáticas
10/2024,Masculino,25-29,Branca,Fundamental completo,Empregado s/ carteira,1–2 SM,Bangu,Zona Oeste,Ruim,Bom,Ruim,Péssimo,Ruim,Regular,Regular,Bom,educação
10/2024,Masculino,40-49,Branca,Médio completo,Empregado s/ carteira,3–5 SM,Benfica,Centro,Regular,Regular,Ruim,Regular,Regular,Bom,Bom,Ótimo,crime e violência
10/2024,Feminino,40-49,Branca,Médio completo,Aposentado,3–5 SM,Vidigal,Zona Sul,Regular,Ruim,Regular,Regular,Bom,Bom,Regular,Bom,saúde
10/2024,Masculino,25-29,Branca,Médio completo,Estudante,2–3 SM,Lins De Vasconcelos,Zona Norte,Ruim,Bom,Regular,Ruim,Bom,Ruim,Ruim,Regular,crime e violência
10/2024,Feminino,30-39,Branca,Superior incompleto,Estudante,3–5 SM,Parque Columbia,Zona Norte,Bom,Regular,Péssimo,Bom,Regular,Péssimo,Regular,Péssimo,crime e violência
10/2024,Feminino,50-59,Branca,Fundamental completo,Aposentado,1–2 SM,Copacabana,Zona Sul,Regular,Bom,Ruim,Ruim,Regular,Regular,Péssimo,Ruim,saúde
10/2024,Feminino,30-39,Branca,Médio completo,Empregado c/ carteira,Até 1 SM,Jacarepaguá,Zona Oeste,Ótimo,Regular,Regular,Bom,Bom,Ruim,Regular,Regular,desemprego
10/2024,Feminino,30-39,Branca,Fundamental completo,Empregado c/ carteira,5–10 SM,Honório Gurgel,Zona Norte,Ruim,Ruim,Regular,Regular,Regular,Ruim,Bom,Ruim,crime e violência
10/2024,Feminino,50-59,Parda,Médio completo,Aposentado,5–10 SM,Tanque,Zona Oeste,Regular,Regular,Bom,Ruim,Ótimo,Ruim,Bom,Regular,educação
10/2024,Feminino,30-39,Preta,Médio completo,Autônomo,3–5 SM,Vaz Lobo,Zona Norte,Bom,Regular,Bom,Regular,Regular,Ruim,Regular,Regular,crime e violência
10/2024,Masculino,25-29,Preta,Fundamental incompleto,Estudante,3–5 SM,Higienópolis,Zona Norte,Péssimo,Ótimo,Ruim,Ruim,Regular,Bom,Ruim,Regular,crime e violência
10/2024,Feminino,25-29,Branca,Fundamental completo,Aposentado,1–2 SM,Cosmos,Zona Oeste,Regular,Ruim,Ruim,Regular,Regular,Regular,Péssimo,Bom,desemprego
10/2024,Masculino,50-59,Branca,Fundamental incompleto,Autônomo,2–3 SM,Leblon,Zona Sul,Regular,Regular,Ruim,Bom,Bom,Regular,Ótimo,Regular,rede de transportes
10/2024,Masculino,16-24,Parda,Fundamental completo,Estudante,3–5 SM,Rio Comprido,Centro,Regular,Regular,Ruim,Regular,Ruim,Regular,Regular,Bom,desemprego
10/2024,Masculino,30-39,Preta,Superior incompleto,Empregado c/ carteira,5–10 SM,São Cristóvão,Centro,Regular,Regular,Péssimo,Ruim,Regular,Ruim,Ruim,Regular,crime e violência
10/2024,Feminino,50-59,Parda,Superior completo,Estudante,1–2 SM,Glória,Centro,Bom,Bom,Ruim,Regular,Bom,Péssimo,Ruim,Ruim,rede de transportes
10/2024,Feminino,30-39,Branca,Pós-graduação,Empregado c/ carteira,3–5 SM,Penha Circular,Zona Norte,Péssimo,Regular,Regular,Regular,Regular,Regular,Bom,Regular,desemprego
10/2024,Masculino,16-24,Preta,Fundamental completo,Desempregado,3–5 SM,Maré,Zona Norte,Regular,Ruim,Bom,Péssimo,Ruim,Regular,Regular,Regular,corrupção
10/2024,Masculino,30-39,Indígena,Fundamental incompleto,Empregado c/ carteira,5–10 SM,Oswaldo Cruz,Zona Norte,Ótimo,Regular,Ótimo,Regular,Regular,Bom,Regular,Ruim,corrupção
10/2024,Feminino,50-59,Branca,Superior completo,Empregado c/ carteira,3–5 SM,Tijuca,Zona Norte,Ótimo,Regular,Ruim,Regular,Ruim,Regular,Ruim,Ruim,crime e violência
10/2024,Masculino,50-59,Branca,Superior incompleto,Autônomo,Até 1 SM,Urca,Zona Sul,Péssimo,Bom,Regular,Bom,Bom,Ruim,Regular,Bom,crime e violência
10/2024,Masculino,40-49,Parda,Médio completo,Empregado c/ carteira,3–5 SM,Joá,Zona Oeste,Ruim,Bom,Péssimo,Bom,Ruim,Bom,Regular,Regular,crime e violência
10/2024,Feminino,25-29,Parda,Superior completo,Empregado c/ carteira,3–5 SM,Jacarepaguá,Zona Oeste,Bom,Péssimo,Regular,Regular,Regular,Péssimo,Regular,Bom,saúde
10/2024,Masculino,16-24,Branca,Médio incompleto,Estudante,2–3 SM,Galeão,Zona Norte,Ruim,Regular,Bom,Regular,Ruim,Regular,Regular,Regular,pobreza e desigualdade
10/2024,Feminino,50-59,Preta,Pós-graduação,Desempregado,Até 1 SM,Urca,Zona Sul,Regular,Bom,Ruim,Regular,Péssimo,Bom,Ruim,Ruim,educação
10/2024,Feminino,40-49,Preta,Médio completo,Empregado c/ carteira,Até 1 SM,Leblon,Zona Sul,Regular,Regular,Ótimo,Regular,Regular,Bom,Bom,Regular,crime e violência
10/2024,Masculino,50-59,Preta,Superior incompleto,Autônomo,1–2 SM,Catete,Zona Sul,Bom,Bom,Ótimo,Péssimo,Regular,Bom,Regular,Regular,crime e violência
10/2024,Masculino,60+,Parda,Fundamental completo,Estudante,Até 1 SM,Flamengo,Zona Sul,Ruim,Bom,Regular,Regular,Bom,Bom,Bom,Regular,rede de transportes
10/2024,Masculino,25-29,Parda,Fundamental incompleto,Estudante,2–3 SM,Urca,Zona Sul,Bom,Bom,Ruim,Regular,Regular,Regular,Regular,Regular,crime e violência
10/2024,Masculino,30-39,Branca,Sem instrução,Desempregado,5–10 SM,Caju,Centro,Ruim,Péssimo,Bom,Regular,Regular,Ruim,Regular,Bom,educação
10/2024,Feminino,30-39,Branca,Médio completo,Autônomo,2–3 SM,Senador Camará,Zona Oeste,Bom,Ruim,Ótimo,Ruim,Ruim,Regular,Regular,Regular,desemprego
10/2024,Feminino,50-59,Branca,Superior completo,Empregado s/ carteira,1–2 SM,Santa Cruz,Zona Oeste,Bom,Péssimo,Regular,Regular,Regular,Péssimo,Bom,Regular,rede de transportes
10/2024,Feminino,30-39,Branca,Médio completo,Estudante,5–10 SM,Grumari,Zona Oeste,Bom,Regular,Bom,Péssimo,Péssimo,Ruim,Regular,Ruim,crime e violência
10/2024,Masculino,16-24,Parda,Fundamental incompleto,Empregado s/ carteira,5–10 SM,Cascadura,Zona Norte,Regular,Ótimo,Ruim,Péssimo,Ótimo,Bom,Bom,Regular,crime e violência
